context_id,product_id,representation,protocol,candidate_quantity,training_percentile,raw_probability,sigmoid_probability,isotonic_probability,valid_support
30656,100483XUZ09C,Q2,B,43.1,10,0.09001381132282696,0.0886270956092154,0.06351351351351352,True
30656,100483XUZ09C,Q2,B,100.0,25,0.09001381132282696,0.0886270956092154,0.06351351351351352,True
30656,100483XUZ09C,Q2,B,448.5,50,0.09001381132282696,0.0886270956092154,0.06351351351351352,True
30656,100483XUZ09C,Q2,B,5000.0,75,0.09626324153735191,0.09155804178157301,0.07272727272727272,True
30656,100483XUZ09C,Q2,B,38724.400000000074,90,0.09626324153735191,0.09155804178157301,0.07272727272727272,True
12216,100483XUZ09C,Q2,B,43.1,10,0.13177563955606092,0.10991879910702113,0.12044817927170871,True
12216,100483XUZ09C,Q2,B,100.0,25,0.13177563955606092,0.10991879910702113,0.12044817927170871,True
12216,100483XUZ09C,Q2,B,448.5,50,0.13177563955606092,0.10991879910702113,0.12044817927170871,True
12216,100483XUZ09C,Q2,B,5000.0,75,0.13811105686181263,0.11351570799823353,0.125,True
12216,100483XUZ09C,Q2,B,38724.400000000074,90,0.13811105686181263,0.11351570799823353,0.125,True
18469,100483XUZ09C,Q2,B,43.1,10,0.08698185299400273,0.08723585287305015,0.06351351351351352,True
18469,100483XUZ09C,Q2,B,100.0,25,0.08698185299400273,0.08723585287305015,0.06351351351351352,True
18469,100483XUZ09C,Q2,B,448.5,50,0.08698185299400273,0.08723585287305015,0.06351351351351352,True
18469,100483XUZ09C,Q2,B,5000.0,75,0.09606605399428766,0.09146424473667301,0.06655194088073633,True
18469,100483XUZ09C,Q2,B,38724.400000000074,90,0.09606605399428766,0.09146424473667301,0.06655194088073633,True
21456,100483XUZ09C,Q2,B,43.1,10,0.09509663345071664,0.09100437204755778,0.06351351351351352,True
21456,100483XUZ09C,Q2,B,100.0,25,0.09509663345071664,0.09100437204755778,0.06351351351351352,True
21456,100483XUZ09C,Q2,B,448.5,50,0.09509663345071664,0.09100437204755778,0.06351351351351352,True
21456,100483XUZ09C,Q2,B,5000.0,75,0.11632626614248807,0.10156406228669738,0.12044817927170871,True
21456,100483XUZ09C,Q2,B,38724.400000000074,90,0.11632626614248807,0.10156406228669738,0.12044817927170871,True
30147,100483XUZ09C,Q2,B,43.1,10,0.11223109273273112,0.09944589486201588,0.12044817927170871,True
30147,100483XUZ09C,Q2,B,100.0,25,0.11223109273273112,0.09944589486201588,0.12044817927170871,True
30147,100483XUZ09C,Q2,B,448.5,50,0.11223109273273112,0.09944589486201588,0.12044817927170871,True
30147,100483XUZ09C,Q2,B,5000.0,75,0.11994957412265174,0.10347143270797995,0.12044817927170871,True
30147,100483XUZ09C,Q2,B,38724.400000000074,90,0.11994957412265174,0.10347143270797995,0.12044817927170871,True
11053,100483XUZ09C,Q2,B,43.1,10,0.10784857491270715,0.09722271947644257,0.11627906976744186,True
11053,100483XUZ09C,Q2,B,100.0,25,0.10784857491270715,0.09722271947644257,0.11627906976744186,True
11053,100483XUZ09C,Q2,B,448.5,50,0.10784857491270715,0.09722271947644257,0.11627906976744186,True
11053,100483XUZ09C,Q2,B,5000.0,75,0.12321992121268242,0.105220136052795,0.12044817927170871,True
